,text,label
101,"@Cordicon JHWH is Jewe in our alphabet.
When the people who are called my name.....JHWH, Jewe. Jew's.. possessions… https://t.co/qtxafDp7px",0
102,"@planetscape current fave
painter be
beau ti ful
beau ti ful
bea ti ful
Jew
Lea Ann

S[h]NAAB!… https://t.co/ySvvxygu3l",0
103,Keep voting Democrat JEWS. It will bite you on the ASS,1
104,My orgasms are just a morbidly obese trans jew frm barcelona tryna get this e nutt off.,1
105,"@BronxBebe @MrDane1982 And that makes him a fake jew how, exactly?",1
106,"@MrsDoctorSledge Out out out, mysterious jew!",1
107,The toughest lil Jew of the year 1998 https://t.co/WTxW1eGmUM,1
108,@BasedBasterd @realDonaldTrump @SpeakerPelosi His daughter became a Jew as well!!!!!,1
109,@10M_a_day Started long time before.. by this day they owned America already.  Henry Ford  International Jew..,1
110,@BornGerman They don't think you're a real Jew,0
111,@badimo nooo!! that would destroy the jew!,1
112,@kmjihsoo Hallo jew jew 🤗🤗,0
113,@tradey8 A pedo that raped jew kids?,0
114,"Covetous Jew much??

https://t.co/vo5ZeeU2f2",1
115,If all else fails blame a Jew,1
116,@CCastaner @Le_CRIF @_LICRA_ @prefpolice What if it was a Jew who drew it?,1
117,@ffr750 @JacobPape4 @Vibovitsch @TimesofIsrael Sure https://t.co/hTqiTEIVxU This black on right is a Jew Krivoshein,1
118,@jvolivaa vai fumar um beck jew,0
119,@IraqiRonaldo @cjsienna55 The crypto jew bastards,1
120,@chick_in_kiev @EyePatchGuy @yoganerdmd @complainaaa @KillerMartinis As a Jew I find the terms shiksa and shaygetz… https://t.co/kSe7Uz7EO0,0
121,"@JeremyClarkson (othervideo, jewtube blocks it) its a valentine day. on it mighty military you worship torched hipp… https://t.co/wwHEqgDCeq",1
122,Jew Jew Shoester Sniff,1
123,@ArdoAliyu You be Jew man now,1
124,@it_meirl_bot This dude jew,1
125,@blurbette Bricks was wrong too- the Meritage chef is a NY Jew !,1
126,@no_zog That thing is a jew. I blocked it.,1
127,@ShaunRwld @MikeSegalov By a fellow jew ? https://t.co/sQUkQGbNMu,0
128,Ezekiel 20 ....sliming of the Homeless the New Holocaust .....I managed to get the Jew out in time.,0
129,"@Lilroroking2284 @BetteMidler @nytimes Well, he is a Jew.",1
130,@VOIDCOMM_ bug. insect man. uh jew,1
131,@ImReeeK @Mewissavega The jew community is shaking,0
132,@h3h3productions Imagine being a Jew AND fat,1
133,@Peston @jeremycorbyn Labour...for the Terrorist not the Jew,0
134,@Cernovich As an Orthodox Jew I can tell you that it is more like 99%,0
135,@xMaxes Jew-ist,0
136,@lbcbreaking Did they catch him being nice to a Jew?,0
137,@reginadubin @natalieperez91 Also.... Jew-le-ry 🙄🚫,0
138,@_Juixe jew lol,0
139,@joch_jochua you feel Jew💀,1
140,@benjaminkatzeff That reminds me. Where's *my* Jew gold?,1
141,@johnpitzer34 You’re a Jew 🤦🏻‍♂️,1
142,"I like my Jews arrogant.

Faux News. Snark back instead of intellectual back and forth conversation.

So predictabl… https://t.co/U1JaxVl2GX",1
143,Another Jew.,1
144,"@RichAmericanDoc @Jennife01893749 @AJGuglielmi I can't speak for this person, but as a Jew, I don't much care for c… https://t.co/62G2ixeJDh",0
145,CASINO (1995) GO SEE THE JEW. https://t.co/y6YPpFwTmI via @YouTube,0
146,"RT EdgeofSports: As a Jew, I want to welcome anyone who wants to criticize a lobbying coalition funded by arms manu… https://t.co/YWXGhpYNBp",0
147,"As a Jew, I want to welcome anyone who wants to criticize a lobbying coalition funded by arms manufacturers, evange… https://t.co/G68nm5jYDw",0
148,"the Jew Big Brotherhood Mark Zuckerburg born 1984
https://t.co/HVQFzgRLAa",1
149,"@WesternIdentity Yamaka goes underneath a normal hat. When you see a Jew with a fedora on, he likely has a yamakah underneath",0
150,@GhostMegyn .@AOC's Native now? Last week she was a Jew...,0
151,@CowboyStalin17 He was the son of Jew kulaks in Ukraine,1
152,And heca religious nut too gau ha jew nah andcforecra gau jew,0
153,"@ConfusedJew Jew, you confused...",1
154,"@rishibagree Many don't know

Neharu was crypto jew
Jinna was crypto jew",1
155,@cbsky7 @SarahKSilverman @thunderwalker87 ⬆️ greedy Jew trope,1
156,"@kthalps @AIPAC @IlhanMN This. Was. Perfect. Signed, A Jew https://t.co/Q9ir71zR1q",0
157,@MistressJLHyde I was raised by a jew,0
158,@DailyCaller Jew on Jew crime averted,0
159,@gatewaypundit @RealCandaceO @ChelseaClinton Since when is @RealCandaceO a Jew?,0
160,@borzoopovic To show she's a jew?,0
161,@lilBee67569241 She crapped all over him because he's a Jew,0
162,@PrisonPlanet @ramzpaul It makes sense cause he’s a jew,1
163,"He's not evil.
He's a jew",1
164,Isreal ≠ Jew #fuckAIPAC,0
165,"@NotXyer Jew presence, said to rhyme with scum",1
166,shut up jew loser,1
167,Miz Cracker's Review with a Jew - AS4 E08 Feat. Manila! https://t.co/ndKEuu85dZ vía @YouTube,0
168,ashkenezi jew https://t.co/cwTLDNISPw,0
169,Disassemble AIPAC - An actual Jew,0
170,Drop dead U Russian Jew bastard's,1
171,@DennisPrager. What black people? Jussie Smollett is a biracial Jew.,0
172,"@FreedomForceUSA @Jenn198523 @AOC replace mex with
black
jew
mex...
he wasn't after muppets.... you're safe",0
173,"@ananavarro Dave Zirin; As a Jew, I want to welcome anyone who wants to criticize a lobbying coalition funded by ar… https://t.co/Dvs0b9dvTj",0
174,@Glostermeteor @AaronBastani @DPJHodges @tom_watson Chair of the CLP is a Jew. Fuckwit,1
175,"@exorcizo_te heh, the chess hat looks a lot like old timey Jew hats from medieval Europe",0
176,Gigtty giw get over here you jew,1
177,"@UncleVladi @110pilot @dasjudge Okay, Jew.",1
178,@PamelaGeller You realise this man is a Jew correct?,0
179,@lilbeezlebub Omg when u going. Proud Jew,0
180,@JunoTicer He is a Jew too.,0
181,@luisjgomez @MarlonWayans @shawn_wayans Can Jussie win a tee shirt for scam that Jew,1
182,This Jew could not agree more.,0
183,@HIGH_TIMES_Mag Jew york always controlling everything,1
184,@Rosiegdn @LollllllaJR @Rapha40837232 @MhambreyUmesh @IDF @Gilana25 @ElleOOOElle @hangolem No Jew were expelled fro… https://t.co/ShsFpnIxMk,0
185,"@5rsKw8rsVMOqfeP @AstralGael low effort jew
shocking",1
186,"evil nahtzees 🤝 intersectional muslims

             naming the jew",0
187,@itsJeffTiedrich @realDonaldTrump Found the jew,1
188,@Rhik17 Anyone can become a Jew,0
189,@TaY_33Y7 @PunishedDeeds Seems like more a woman thing than Jew thing,0
190,@mirsyirah takde la beshe beshe jew,0
191,@DeplorableChoir Ilhan Omar(D-MarriedHerBrother) is bashing a Jew for being a Jew,0
192,@NTHegarty1 He's a jew.,1
193,@HISTORY The oldest Jew Alive🤗,0
194,@nalyam9 @jackssmirkingr3 The Jew invited the Muslim.,0
195,"@neal_katyal First it's a Mexican, now a Jew.",0
196,@ForAmerica Woody Allen? Oops 😬 wrong jew,0
197,"@TheProtestBoard No idea, what a black jew woukd be",0
198,SHOOT THE JEW,1
199,"@rjherber @Jozef_Feret @haaretzcom No, we dislike you becouse you are harefull liar not vecouse you are a Jew",0
200,@Sam_OConnor_ jew cunt,1
201,Lil Jew,1
202,@qetsciyah @mcmallion @shanidemedici Go away u jew,1
203,A total Jew.,1
204,@JewdyGold Jew much?,0
205,but its a Jew though.,0
206,@ABC Good. He was a filthy jew.,1
207,@SuperMilf__ @_KingHefner_ The man was not caucasian. He was a jew,1
208,"my lovesss 😝♥

insert: ate jew, ate mane and kwes ^o^",0
209,@itsough @sw4zzle Refund my money u jew https://t.co/qDmZ0FpcsV,1
210,@Meadow19731 @Crazyparklady1 And has called it Jarrah ( Jew killer).,0
211,@LifeAsMohammed what’s it like being a dog for the jew?,1
212,For the many not the Jew .......,0
213,@OfficeOfMike Oh Jew know,0
214,"@Liz_Cheney @IlhanMN Dave Zirin; As a Jew, I want to welcome anyone who wants to criticize a lobbying coalition fun… https://t.co/7hSg9xEZlo",0
215,"...because I was not a Jew.

*Then they came for me—and there was no one left to speak for me. ~Pastor Martin Niemöller
/2",0
216,@James_rwnat @Steve_Sailer restate: muslim and jew. You knew what I meant.,0
217,"@willsmith @rebeccawatson wow... shrek refers to,, the Jew",1
218,@p0_ff0 This black Jew shit is just weird,1
219,@seanhannity @SebGorka Jew hatin’ Faradork!,0
220,"https://t.co/Vl0CNutFUt
Drake a black or African-American Drake is a Jew",0
221,@arnelswartz He's half Jew also.,0
222,"@robspitzy @robbouk_1991 Oh, well.

As a Jew, I applaud her.",0
223,@JeffreyGuterman @realDonaldTrump @CNN Self loathing Jew,0
224,@TLeonThomas @JussieSmollett An attention seeking jew like Jussie,1
225,@marklevinshow @Trumplar I thought tapper was a Jew himself?,1
226,@KlasraRauf Zardari is Pennywise 👺 Nawaz Sharif is Jew of Malta.,0
227,bright cracker barrel non jew inceat,0
228,Jew Jokes https://t.co/1Zjraj2NBS via @YouTube,0
229,@RT_com That is some tearaway fake jew propaganda,1
230,@sc_rlette @IAmSweeetgirl98 i thought that said jazz jew and i,0
231,@PlotkinLevi @Alexc3904059 @IlhanMN Shoo shoo filthy jew,1
232,@TheCrushedBones and a Jew to boot.,0
233,@HarlStowex @jobellerina @sunny_hundal @wordsbyana He is a little Jew obsessed,0
234,@NotXyer &gt;falling for the estrogenical jew,0
235,"Guyy, like say we be Jew.",0
236,@NPR Standing out as a Jew in Brooklyn?,0
237,This jew just wants some hugs https://t.co/KVMRWnKhnw,0
238,Postmodern jew go to hell,1
239,@TeamYouTube  Jew Swing https://t.co/5fLGlaNyf8,0
240,@LBC @MaajidNawaz Just because LBC is owned by son of Jew,1
241,@EricRWeinstein @mtracey @Ashok__Deshmukh @ggreenwald @SamHarrisOrg @RubinReport wow a Jew going into the weeds to… https://t.co/QM1RBCAVdu,0
242,"@UKLabour
For the many, not the Jew.",0
243,@SUEHULK Is that how a gassed jew dances?,1
244,@IanRH64 @AaronBastani You do realise Marx was a Jew ?,0
245,@johncardillo @JaredoTexas @JussieSmollett Definitely shows that he's a jew,1
246,@ArchKennedy @JanetTxBlessed Nothing worse than a self loathing Jew.,0
247,"@4YrsToday Yeah, the Jew media.",1
248,@HuffPost Not a big Jew guy,0
249,@PaulDexterPapa1 @TheCanaryUK @wrightismight Are you claiming that 200 Jews represent 250000 Jews in the U.K.? Labo… https://t.co/qjUntgIOEE,0
250,@alijacuric You're such a corporate Jew,1
251,@thelaydeezeman Jews also a Jew. Also it was coordinated https://t.co/0HqtLhJdov,1
252,@GrammaTrex @C_3C_3 @Sethrogen Seth Rogen is a hypocritical jew.,1
253,@Gnarsenic Classic Jew.,1
254,@Calloy811 @RealGilbert @BookCameo Jew-me Hendrix,0
255,@AndrewPessin @SectarianReview Origins of Totalitarianism addresses so many issues of Jews in the 20th century. I c… https://t.co/fArskAfrkS,0
256,@tangerineorchid I see the Jew on your soul!,0
257,@jeremycorbyn For the Many ..not The Jew ...,0
258,Jew girl.,0
259,@iam_carl_ I can see a jew,1
260,@sammorril @933WMMR @PrestonSteve933 I wanna fuck the lanky Jew,0
261,"@SRWells3 @DocWashburn @apathynomore7 @MiaEarlene1 @veganempanada @imjustasteph @WolfeLing @IlhanMN As a Jew, was J… https://t.co/pgyxmjJruh",0
262,Benjamin was probably a jew too,1
263,@azrnidz HHHH I'LL BE THERE SAMPAI KUL 6 JEW SIS,0
264,@TweeTanveer So he was an ashkenazi jew,0
265,@TheGroovyJew Shush jew,1
266,@maranan_chris Look. My king Mitch has died after the Jew invasion,0
267,the official new york jew motto,1
268,@chivertics @RealOlaudah @AbdulMahmud01 @akaebube @jacksonpbn @SERAPNigeria @akpaemeka @jimiagbaje @funmioyatogun You a Jew??,0
269,@mikeburde @nba_nashaun Fuck off jew,1
270,Bowser is a money hungry Jew,1
271,Jew in Germany: A Heartwarming Couchsurfing Story https://t.co/Ftisz71cgz,0
272,@joe_dimeck @philoking2 @HoarseWisperer @BernieSanders @jack Jacks a commie fa g jew himslef,0
273,Wavy jew https://t.co/UsNCn7Ba3S,0
274,"@ChelseaClinton @bakerjjw Chelsea Clinton, not a Jew. But guess who is, hall of famer Rod Carew. (He converted)",0
275,@GulBukhari Looks jew,1
276,@badimo the jew is bugued https://t.co/XwF4V6YIch,0
277,@halimshahid97 asal tak ws jew?,0
278,@DDayCobra A Jew made that meme,0
279,@_miefo0 Coz u make me feel guilty tu jew,0
280,"@777lesley7777 @cliodiaspora @JUSTMYSAY My grandfather came from Poland pre WW11. Being a  Jew, it had never been e… https://t.co/XQg5NJZ2k0",0
281,@Addamo4 @KyleKulinski And people would push it even though Bernie is a Jew,0
282,Is Gabbie Hannah a Jew bc her nose is big,1
283,@meka_bagel @MotivatedHater Ur a jew bagel,0
284,jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew jew… https://t.co/Y5nBHfXxgz,0
285,@ChidiAndy @Oddy4real Loved this guy's acting as Alfie Solomons (the jew) in The Peaky Blinders. What movie is this?,0
286,"The song also had the odd jew me, sue me lyric",0
287,@slayxzmalik Thanku always Jew❤,0
288,"@PavelDarkovic He’s a Jew, so...",1
289,@ArchKennedy ……………..the old Jew has lost his noodles? https://t.co/4g38fsRuuc,0
290,@lauraBoston77 @TalibKweli @AnpcDr @DumbBaby Signed -- a jew.,0
291,@Wearedust1 @daverich1 Still Jew baiting wank dust,0
292,@PotatoLaydee He's a Jew....,1
293,@ZFleds @90sWWE @jennajameson @AWheelz @ZJseebs Didn’t know Jenna Jameson was a Jew 😂,0
294,@realDralian stfu you jew,1
295,@AmyMek @TwitterSupport It’s like a mute the Jew campaign,0
296,@arielhelwani @Cowboycerrone Did he call Ariel a fucking jew??,0
297,@bl_aze You jew muddafuckah you,1
298,"@BoKnowsNews @r0wdy_ @MaxRose4NY R/T:  As a Jew, I want to welcome anyone who wants to criticize a lobbying coaliti… https://t.co/gnUboYO5AB",0
299,"@Genteastt Go back to retirement you, jew fuck",1
300,@BritPatriotic @AlbertGIBrammer @DavidLammy For the FEW not the JEW!,0
301,@Esor_Fasa Agnostic Jew!!,0
302,Jew know pay Texas,0
303,u calling me a jew?,0
304,@xpressanny @LabGrassroots @skwawkbox Wrong type of Jew clearly,0
305,@KreekCraft hi kreek iv seen your vid on the new jailbreak update on bank jew store and museme nm,0
306,@blackseraphim2 You're nerd jew,1
307,@MasalaFry69 @JewishChron Piss off you Jew baiting cunt guzzler,0
308,"@Tekashkenazi &gt;Jews are Meds
this but with a Jew https://t.co/1Ke3WouRWP",0
309,Deport these lying Jew scum!!,1
310,Worse a Jew ✋,1
311,@haaretzcom Jew news,1
312,"@gdkln @AwkwardEthos @R_U_Still_Mad @OingoBo19576917 Get the hell out of my thread, jew.",0
313,@SeanSykes92 Haha the words of a true Jew,0
314,@_Myleshigh That jew money is long,1
315,"And as a Jew, I embrace this statement and want to reiterate what Dave said 💯",0
316,@zilchbot @RedSinister97 Qui-Gon Jew,0
317,@mare_carl @ARagainis @IlhanMN @AdyBarkan This Jew is Not one of them,0
318,Jeffrey the Jew Epstein   https://t.co/mKag6sT74I via @veteranstoday,0
319,"@cenkuygur @IlhanMN @realDonaldTrump As a Jew, I’ll allow this.",0
320,@_Coucher Oh Jew!,0
321,@KxR6S @Xannyyy___ This is MY JEW 😍,0
322,@EdKrassen jew concurs,0
323,Lmaoooooo I’ll still put money on me that I’d knock this Jew out,1
324,Dah la rm10 jew hewhew,0
325,@IconicSemedoV3 no jew,0
326,@arielhelwani pathetic by the Jew this aint  wwe,0
327,@CA49thDistrict @FacesAuschwitz Nope. Jew,0
328,"@mazzenilsson @EliLake @AbeGreenwald @IlhanMN embrace your jew hate,,,stupid mong",0
329,@tomejones13 @MichaelKugelman He's a blu__y jew,0
330,"@bakedretard Are you a Jew?

You look like a Jew with that nose.",1
331,Sam Hyde 2 more like drive-by Jew,0
332,@Mikaelacass09 As a Jew I accept....but can a brotha smash?,0
333,"@BretStephensNYT @Peter_Wehner Dave Zirin; As a Jew, I want to welcome anyone who wants to criticize a lobbying coa… https://t.co/WiI2Uiw749",0
334,@GhostSmukJulius @DB_Legends Get out of here you fucking jew,1
335,@OneJurorMatters @emmakiele @NotanICEagent1 @believeinxfiles @ewarren You're a Jew?  Suuuuuure you are.,0
336,"@MikailiR @StanleyCohenLaw @yesnicksearcy @bungarsargon @ChelseaClinton @ReaganBattalion Hell Yeah!!!
Signed,
An American Jew",0
337,@faizashaheen @UKLabour Good job you ain't a Jew then.,0
338,@janus_grombulus werent you larping as a jew tho,0
339,You're a jew.,1
340,@ChuckCallesto @Vadi165 She attacked Abrams because he’s a Jew,0
341,@DaysofPalestine @EmpireFiles The fake jew cries out in pain as he strikes you.,1
342,@RealOldPaul @realchristianob @oldmancalvin He's also a Jew. Ew.,1
343,@arifullah2742 @TheEconomist Riiight because existing is terrorisim....if your a jew....uh huh,0
344,@bessbell This Jew would just like to say... nailed it!,0
345,"#QAnon
Umm, Chelsea is married to a Jew.",0
346,@anklefootmd Hey Dickwad? Who you fucking today Jew boy,1
347,"Sanders is a Jew, you idiot.",0
348,https://t.co/jAi2A1sK45 look at this jew rats what they doing,1
349,@Indignant_acorn @davidschneider @lucianaberger Sayle.....most famous Liverpudlian Jew....think not.,0
350,@MaxRose4NY from one Jew to another lol shut up you baby,0
351,You Jew mf you!,1
352,@MajinNzu London is Jew,0
353,@Mike_Fabricant I thought they had Jew a line under the whole issue,0
354,@realDailyWire Smollet is a jew,1
355,@Filosofremenboi Shouldn’t be proud of being profiled by the JEW YORKER,1
356,@culttture @WNYC @VonkLevi @TPUSA Of course he’s a Jew,1
357,@YUNGKOZY Julia voice I'll like but not comment so I dont waste 3kb of precious internet (because shes a Jew),0
358,@heyitsjojobo @Nortic_Moon Not a single charge for the jew? Unbelievable,1
359,@ybuki u balance jew out,1
360,my real name is jew kikenstien,0
361,@alteratyeshiva I would care if this was a dog not a Jew,0
362,@AriShaffir Makes me want to be a better Jew.,0
363,"@JRubinBlogger @politico Dave Zirin; As a Jew, I want to welcome anyone who wants to criticize a lobbying coalition… https://t.co/AC4M34zCO2",0
364,"@SoylessMed @SeanBannion @JoeSilverman7 @muffnbear Pick one:
1) I don't want to argue with you.
2) Are you a Jew?",1
365,@joeykarni You know it my ging-jew,0
366,"Jew bau -$200
https://t.co/97AxeZvqGQ",0
367,@FlapjackTony @subgap @MrBeastYT @jacksfilms @Jack_Septic_Eye @jakepaul @LoganPaul @Boogie2988 @pewdiepie The jew t… https://t.co/MhzJP1e3n9,0
368,This American Jew approves this message,0
369,@jeremycorbyn You going jew bashing?,0
370,@thewillwitt This Jew won’t be.,0
371,Anyare jew 😂😂 https://t.co/mraCzzd6GI,0
372,Pollow de plow jew,0
373,@FeistyRealist @Michael_Heaver @UKLabour Labour for the Muslim not the Jew,0
374,dilf brit or dilf jew,0
375,"@thinkprogress Hard. Pass. Signed, The Jew.",0
376,What sum owes he the Jew?,1
377,@fikriroslee Hmmmm beshe beshe jew,0
378,@AndreaRussett Just be a Jew and smash that thing,1
379,"@voxdotcom Another Jew, wow",1
380,@SethDAlexander @TheMossadIL As a jew.,0
381,AQ SoRunK jEw KeW,0
382,My Jew status has been revoked 😱😱😭😭,0
383,A Jew with quarters up her sleeve? What a surprise. 😉,1
384,@WahFitz1 @realDonaldTrump Bash the Jew right?,0
385,@isaiah_kb @MrDane1982 I wish I was a fake jew :(,1
386,I have to make more use of Larry David gifs as he is my spirit crotchety Jew.,0
387,@marklevinshow Isn’t tapper a Jew?,1
388,@kennleandre torrent jew,1
389,"My Favourite Dead Jew!
https://t.co/DzGpP3qVYh",0
390,"@Jacek54 @polishview @i24NEWS_EN @Israel_katz One of many.
Conditions:
- both survive
- keep contact
- Jew testifie… https://t.co/rmXSgOe9mQ",0
391,Name the biggest Jew fam,0
392,Jew jew on that beat,0
393,@TheaGood Chairman of the Fed. Another NY Jew?,1
394,@BawdenSnoek @TESSY197 the choice was one left wing jew replacing another,0
395,Its sterility in the jew….,1
396,@5PRINGFI3LD @Esmelter_ @XynnYann Yeah you fucking jew,1
397,@PastorCarlDay @LuvvVSFatCuz @NewzHuddle So basically Noah was a Jew ?,0
398,@halfon_m @DavidLublin @SenSchumer @IlhanMN Not this Jew.,0
399,@Adalovelacexx Get on brawlstars you jew,1
400,"Dr Gerbils, in Jew.",0
401,The good Jew ! 😂 https://t.co/zXHKktf6ml,0
402,@CyborgCymatics @Dead_Domer and he’s a jew,1
403,@EdKrassen Can I be offended by both? As a Jew?,0
404,@SeanSouth17 @jacobiteabroad jew didn't,0
405,thresh is a fucking jew &lt;3,1
406,@AllISeeAreGems @TheOnlySprout And as you point out- a PREPUBESCENT Crypto-Jew,1
